ISO3,INDEP,NAME,CF,EB,FB,WK,WO
MAF,NO,St. Martin,1,0,1,0,0
MAR,YES,Morocco,1,1,1,1,1
MCO,YES,Monaco,1,1,1,1,1
MDA,YES,Moldova,1,1,1,1,1
MDG,YES,Madagascar,1,1,1,1,1
MDV,YES,Maldives,1,1,1,1,1
MEX,YES,Mexico,1,1,1,1,1
MHL,YES,Marshall Islands,1,1,1,1,1
MKD,YES,North Macedonia,1,1,1,1,1
MLI,YES,Mali,1,1,1,1,1
MLT,YES,Malta,1,1,1,1,1
MMR,YES,Myanmar,1,1,1,1,1
MNE,YES,Montenegro,1,1,1,1,1
MNG,YES,Mongolia,1,1,1,1,1
MNP,NO,Northern Mariana Islands,1,0,1,0,1
MOZ,YES,Mozambique,1,1,1,1,1
MRT,YES,Mauritania,1,1,1,1,1
MSR,NO,Montserrat,1,0,1,0,1
MTQ,NO,Martinique,1,0,0,0,0
MUS,YES,Mauritius,1,1,1,1,1
MWI,YES,Malawi,1,1,1,1,1
MYS,YES,Malaysia,1,1,1,1,1
MYT,NO,Mayotte,1,0,0,0,0
NAM,YES,Namibia,1,1,1,1,1
NCL,NO,New Caledonia,1,0,1,0,1
NER,YES,Niger,1,1,1,1,1
NFK,NO,Norfolk Island,1,0,1,0,0
NGA,YES,Nigeria,1,1,1,1,1
NIC,YES,Nicaragua,1,1,1,1,1
NIU,NO,Niue,1,0,1,0,0
NLD,YES,Netherlands,1,1,1,1,1
NOR,YES,Norway,1,1,1,1,1
NPL,YES,Nepal,1,1,1,1,1
NRU,YES,Nauru,1,1,1,1,1
NZL,YES,New Zealand,1,1,1,1,1
OMN,YES,Oman,1,1,1,1,1
PAK,YES,Pakistan,1,1,1,1,1
PAN,YES,Panama,1,1,1,1,1
PCN,NO,Pitcairn Islands,1,0,1,0,0
PER,YES,Peru,1,1,1,1,1
PHL,YES,Philippines,1,1,1,1,1
PLW,YES,Palau,1,1,1,1,1
PNG,YES,Papua New Guinea,1,1,1,1,1
POL,YES,Poland,1,1,1,1,1
PRI,NO,Puerto Rico,1,0,1,0,1
PRK,YES,North Korea,1,1,1,1,1
PRT,YES,Portugal,1,1,1,1,1
PRY,YES,Paraguay,1,1,1,1,1
PSE,NO,Palestine,1,0,0,1,1
PYF,NO,French Polynesia,1,0,1,0,1
QAT,YES,Qatar,1,1,1,1,1
REU,NO,Réunion,1,0,0,0,0
ROU,YES,Romania,1,1,1,1,1
RUS,YES,Russia,1,1,1,1,1
RWA,YES,Rwanda,1,1,1,1,1
SAU,YES,Saudi Arabia,1,1,1,1,1
SDN,YES,Sudan,1,1,1,1,1
SEN,YES,Senegal,1,1,1,1,1
SGP,YES,Singapore,1,1,1,1,1
SGS,NO,South Georgia & South Sandwich Islands,1,0,1,0,0
SHN,NO,St. Helena,1,0,1,0,1
SJM,NO,Svalbard & Jan Mayen,1,0,0,0,0
SLB,YES,Solomon Islands,1,1,1,1,1
SLE,YES,Sierra Leone,1,1,1,1,1
SLV,YES,El Salvador,1,1,1,1,1
SMR,YES,San Marino,1,1,1,1,1
SOM,YES,Somalia,1,1,1,1,1
SPM,NO,St. Pierre & Miquelon,1,0,1,0,1
SRB,YES,Serbia,1,1,0,1,1
SSD,YES,South Sudan,1,1,1,1,1
STP,YES,São Tomé & Príncipe,1,1,1,1,1
SUR,YES,Suriname,1,1,1,1,1
SVK,YES,Slovakia,1,1,1,1,1
SVN,YES,Slovenia,1,1,1,1,1
SWE,YES,Sweden,1,1,1,1,1
SWZ,YES,Eswatini,1,1,1,1,1
SXM,NO,Sint Maarten,1,0,1,0,1
SYC,YES,Seychelles,1,1,1,1,1
SYR,YES,Syria,1,1,1,1,1
TCA,NO,Turks & Caicos Islands,1,0,1,0,1
TCD,YES,Chad,1,1,1,1,1
TGO,YES,Togo,1,1,1,1,1
THA,YES,Thailand,1,1,1,1,1
TJK,YES,Tajikistan,1,1,1,1,1
TKL,NO,Tokelau,1,0,1,0,1
TKM,YES,Turkmenistan,1,1,1,1,1
TLS,YES,Timor-Leste,1,1,1,1,1
TON,YES,Tonga,1,1,1,1,1
TTO,YES,Trinidad & Tobago,1,1,1,1,1
TUN,YES,Tunisia,1,1,1,1,1
TUR,YES,Turkey,1,1,1,1,1
TUV,YES,Tuvalu,1,1,1,1,1
TWN,YES,Taiwan,1,1,1,1,0
TZA,YES,Tanzania,1,1,1,1,1
UGA,YES,Uganda,1,1,1,1,1
UKR,YES,Ukraine,1,1,1,1,1
UMI,NO,U.S. Outlying Islands,1,0,0,0,0
URY,YES,Uruguay,1,1,1,1,1
USA,YES,US,1,1,1,1,1
UZB,YES,Uzbekistan,1,1,1,1,1
VAT,YES,Vatican City,1,1,1,1,1
VCT,YES,St. Vincent & Grenadines,1,1,1,1,1
VEN,YES,Venezuela,1,1,1,1,1
VGB,NO,British Virgin Islands,1,0,1,0,1
VIR,NO,U.S. Virgin Islands,1,0,1,0,1
VNM,YES,Vietnam,1,1,1,1,1
VUT,YES,Vanuatu,1,1,1,1,1
WLF,NO,Wallis & Futuna,1,0,1,0,1
WSM,YES,Samoa,1,1,1,1,1
XKX,NO,Kosovo,1,1,0,1,0
YEM,YES,Yemen,1,1,1,1,1
ZAF,YES,South Africa,1,1,1,1,1
ZMB,YES,Zambia,1,1,1,1,1
ZWE,YES,Zimbabwe,1,1,1,1,1
